Model,Dataset,TopK,Recall,Precision,NDCG,F1
jhgan_ko-sroberta-multitask,Ko-StrategyQA,3,0.11328727749483132,0.06447817390281209,0.12932638408940075,0.07857394987645604
jhgan_ko-sroberta-multitask,Ko-StrategyQA,5,0.1303069268653455,0.04624073420402401,0.13295052853242917,0.06564946016057913
jhgan_ko-sroberta-multitask,Ko-StrategyQA,10,0.1451557326071975,0.026191316625485354,0.13569244893093343,0.04322707462177158
jhgan_ko-sroberta-multitask,RAG-Evaluation-Dataset-KO,1,0.8266666666666667,0.8266666666666667,0.0,0.8266666666666667
jhgan_ko-sroberta-multitask,RAG-Evaluation-Dataset-KO,3,0.92,0.30666666666666664,0.8824984160833353,0.46
jhgan_ko-sroberta-multitask,RAG-Evaluation-Dataset-KO,5,0.94,0.18799999999999997,0.8909658680753404,0.3133333333333334
jhgan_ko-sroberta-multitask,RAG-Evaluation-Dataset-KO,10,0.95,0.09499999999999999,0.8942396398868484,0.17272727272727276
jhgan_ko-sroberta-multitask,markers_bm,1,0.42105263157894735,0.42105263157894735,0.0,0.42105263157894735
jhgan_ko-sroberta-multitask,markers_bm,3,0.543859649122807,0.18128654970760233,0.4904956866228088,0.2719298245614035
jhgan_ko-sroberta-multitask,markers_bm,5,0.5964912280701754,0.11929824561403507,0.5120096172888071,0.1988304093567252
jhgan_ko-sroberta-multitask,markers_bm,10,0.6491228070175439,0.06491228070175438,0.5294097115343012,0.11802232854864436
jhgan_ko-sroberta-multitask,autorag-korean,1,0.0,0.0,0.0,0.0
jhgan_ko-sroberta-multitask,autorag-korean,3,0.0,0.0,0.0,0.0
jhgan_ko-sroberta-multitask,autorag-korean,5,0.008771929824561403,0.0017543859649122807,0.0037778645445034464,0.0029239766081871348
jhgan_ko-sroberta-multitask,autorag-korean,10,0.017543859649122806,0.0017543859649122807,0.006902488992819432,0.003189792663476874
nlpai-lab_KoE5,MLDR,1,0.195,0.195,0.0,0.195
nlpai-lab_KoE5,MLDR,3,0.295,0.09833333333333333,0.25220113644643016,0.1475
nlpai-lab_KoE5,MLDR,5,0.34,0.068,0.2709242252971501,0.11333333333333336
nlpai-lab_KoE5,MLDR,10,0.4,0.04,0.28989741289842125,0.07272727272727274
nlpai-lab_KoE5,Ko-StrategyQA,1,0.10200948010690333,0.15566537239675257,0.0,0.11791387222026119
nlpai-lab_KoE5,Ko-StrategyQA,3,0.15368950969021566,0.0895399458759854,0.1679962327627572,0.10825811440001344
nlpai-lab_KoE5,Ko-StrategyQA,5,0.16541441850301716,0.05951288386869044,0.1692087192137903,0.08434465679435678
nlpai-lab_KoE5,Ko-StrategyQA,10,0.17475081101978385,0.03215672432050829,0.16906322986825018,0.052967562880147756
nlpai-lab_KoE5,RAG-Evaluation-Dataset-KO,1,0.9433333333333334,0.9433333333333334,0.0,0.9433333333333334
nlpai-lab_KoE5,RAG-Evaluation-Dataset-KO,3,0.9733333333333334,0.32444444444444437,0.961824793428572,0.4866666666666667
nlpai-lab_KoE5,RAG-Evaluation-Dataset-KO,5,0.9766666666666667,0.1953333333333333,0.9631143027860207,0.3255555555555556
nlpai-lab_KoE5,RAG-Evaluation-Dataset-KO,10,0.9866666666666667,0.09866666666666665,0.9663566429845465,0.1793939393939394
nlpai-lab_KoE5,markers_bm,1,0.7192982456140351,0.7192982456140351,0.0,0.7192982456140351
nlpai-lab_KoE5,markers_bm,3,0.9035087719298246,0.30116959064327486,0.8309281211466208,0.4517543859649123
nlpai-lab_KoE5,markers_bm,5,0.9298245614035088,0.18596491228070175,0.8418772959131238,0.30994152046783635
nlpai-lab_KoE5,markers_bm,10,0.9473684210526315,0.09473684210526316,0.8474117674356804,0.17224880382775123
nlpai-lab_KoE5,autorag-korean,1,0.0,0.0,0.0,0.0
nlpai-lab_KoE5,autorag-korean,3,0.0,0.0,0.0,0.0
nlpai-lab_KoE5,autorag-korean,5,0.008771929824561403,0.0017543859649122807,0.0037778645445034464,0.0029239766081871348
nlpai-lab_KoE5,autorag-korean,10,0.008771929824561403,0.0008771929824561404,0.0037778645445034464,0.001594896331738437
nlpai-lab_KURE-v1,MLDR,1,0.345,0.345,0.0,0.345
nlpai-lab_KURE-v1,MLDR,3,0.465,0.155,0.4167836778214311,0.2325
nlpai-lab_KURE-v1,MLDR,5,0.505,0.10100000000000002,0.4333533838817841,0.16833333333333336
nlpai-lab_KURE-v1,MLDR,10,0.565,0.056499999999999995,0.4520211690898275,0.10272727272727274
nlpai-lab_KURE-v1,Ko-StrategyQA,1,0.10130351469920831,0.15531238969290503,0.0,0.1172549711730792
nlpai-lab_KURE-v1,Ko-StrategyQA,3,0.15364244532970264,0.0895399458759854,0.1680897986015468,0.10834467920595701
nlpai-lab_KURE-v1,Ko-StrategyQA,5,0.16598507387423733,0.060148252735615956,0.1690172281439464,0.08510020786759227
